amenity_name,lat,lng,building,address,postal
445 FAJAR ROAD ,1.38339951629579,103.771086145173,CARPE DIEM YOUNG JOY PTE. LTD.,CARPE DIEM YOUNG JOY PTE. LTD.,670445
221 BOON LAY PLACE ,1.34639604683977,103.712387709421,RAINBOW CHILDCARE PTE LTD,RAINBOW CHILDCARE PTE LTD,640221
487B TAMPINES STREET 45 ,1.36026524882674,103.958372350188,NIL,487B TAMPINES STREET 45 SINGAPORE 521487,521487
18 TOH GUAN ROAD EAST ,1.33581675199731,103.751416959817,DBS CENTURION DORMITORY,DBS CENTURION DORMITORY,608591
27 PENJURU WALK ,1.31865728379443,103.733152140767,DBS PENJURU RECREATION CLUB,DBS PENJURU RECREATION CLUB,608538
5 STRAITS VIEW ,1.27737235072298,103.852844801266,THE HEART,THE HEART,018935
260 KIM KEAT AVENUE ,1.33211277447272,103.857378073376,MULTI STOREY CAR PARK,MULTI STOREY CAR PARK,310260
154 WEST COAST ROAD,1.30358622534992,103.76610375397,DBS WEST COAST PLAZA,DBS WEST COAST PLAZA,127371
691 WOODLANDS DRIVE 73 ,1.44062992421831,103.806198056529,ADMIRALTY FLORA,ADMIRALTY FLORA,730691
1 SELETAR ROAD ,1.38372479732787,103.864972142068,SELETAR HILLS ESTATE,SELETAR HILLS ESTATE,807535
13 YUK TONG AVENUE,1.34207496392367,103.774632794309,CHUN TIN COURT,CHUN TIN COURT,596318
900 SOUTH WOODLANDS DRIVE ,1.43501099715673,103.786918892248,STANDARD CHARTERED BANK WOODLANDS,STANDARD CHARTERED BANK WOODLANDS,730900
1 LOWER KENT RIDGE ROAD ,1.29277432702258,103.784084020155,LEARNING VISION @ WORK PTE. LTD.,LEARNING VISION @ WORK PTE. LTD.,119082
106 HOUGANG AVENUE 1 ,1.35370313485788,103.890680820842,UOB HOUGANG AVENUE 1,UOB HOUGANG AVENUE 1,530106
108 MCNAIR ROAD ,1.3216190383169,103.859382719506,MCNAIR SPRING,MCNAIR SPRING,321108
31 OCEAN WAY ,1.24706997908317,103.842182970325,DBS QUAYSIDE ISLE,DBS QUAYSIDE ISLE,098375
200 WOODLANDS INDUSTRIAL PARK E7 ,1.45074973335289,103.796846514064,WOODLANDS RECREATION CENTRE,WOODLANDS RECREATION CENTRE,757177
20 AH HOOD ROAD ,1.32702991607724,103.846490871841,RAMADA SINGAPORE AT ZHONGSHAN PARK,RAMADA SINGAPORE AT ZHONGSHAN PARK,329984
78A TELOK BLANGAH STREET 32 ,1.27338751489362,103.808980553946,MULTI STOREY CAR PARK,MULTI STOREY CAR PARK,101078
109 BUKIT PURMEI ROAD ,1.27392939929265,103.825310761145,BUKIT PURMEI VILLE,BUKIT PURMEI VILLE,090109
170 STIRLING ROAD ,1.29090918077067,103.803107626115,STIRLING VIEW,STIRLING VIEW,140170
12 TUAS SOUTH STREET 13 ,1.27019585421212,103.634479625194,DBS TUAS SOUTH RECREATION CLUB,DBS TUAS SOUTH RECREATION CLUB,636937
279 BISHAN STREET 24 ,1.35722283118337,103.843785252615,NIL,279 BISHAN STREET 24 SINGAPORE 570279,570279
2 ANG MO KIO DRIVE ,1.37789204897273,103.856411982029,DBS ITE COLLEGE CENTRAL BRANCH,DBS ITE COLLEGE CENTRAL BRANCH,567720
803 KING GEORGE'S AVENUE ,1.30811749102335,103.861188606169,NIL,803 KING GEORGE'S AVENUE SINGAPORE 200803,200803
218 SUMANG WALK ,1.40322712524584,103.89538702242,MATILDA PORTICO,MATILDA PORTICO,820218
610 TAMPINES NORTH DRIVE 1 ,1.36463646143194,103.937173937407,TAMPINES GREENWEAVE,TAMPINES GREENWEAVE,520610
473 FERNVALE STREET ,1.39779874741053,103.881698806174,FERNVALE RIVERGROVE,FERNVALE RIVERGROVE,790473
2 JOO CHIAT ROAD ,1.31567196429635,103.899183182411,DBS NTUC JOO CHIAT COMPLEX,DBS NTUC JOO CHIAT COMPLEX,420002
257 KRANJI ROAD,1.43594536031501,103.754008428765,KRANJI INDUSTRIAL ESTATE,KRANJI INDUSTRIAL ESTATE,739503
354 CLEMENTI AVENUE 2 ,1.3135304106234,103.770859843658,MUSTARD SEED CENTRE,MUSTARD SEED CENTRE,120354
896 DUNEARN ROAD ,1.33664023193956,103.783743083728,CONSULATE-GENERAL OF GREECE,CONSULATE-GENERAL OF GREECE,589472
26 JALAN MEMBINA ,1.28263437649669,103.825595753657,MULTI STOREY CAR PARK,MULTI STOREY CAR PARK,161026
2 WOODLANDS SECTOR 2 ,1.46150164054498,103.809471515497,WESTLITE WOODLANDS,WESTLITE WOODLANDS,737723
273C PUNGGOL PLACE ,1.40230301367166,103.901262391698,PUNGGOL REGALIA,PUNGGOL REGALIA,823273
116 JALAN TENTERAM ,1.32769993704525,103.861236369481,TENTERAM PEAK,TENTERAM PEAK,320116
10 BUKIT BATOK CENTRAL ,1.34893228104121,103.749492243875,OCBC BUKIT BATOK MRT STATION - FAIRPRICE,OCBC BUKIT BATOK MRT STATION - FAIRPRICE,659958
129 TUAS VIEW SQUARE,1.30117599336633,103.628177329762,WESTLINK TECHPARK,WESTLINK TECHPARK,637741
2 TAMPINES CENTRAL 5 ,1.35236829566862,103.943812302253,CENTURY SQUARE,CENTURY SQUARE,529509
631 BEDOK RESERVOIR ROAD ,1.33295873271663,103.914941831215,UOB BEDOK RESERVOIR ROAD,UOB BEDOK RESERVOIR ROAD,470631
2 JURONG EAST STREET 21 ,1.3346666186285,103.74695659203,MAYBANK OFFSITE@IMM,MAYBANK OFFSITE@IMM,609601
200 TURF CLUB ROAD ,1.33879673523931,103.793256122847,MINDCHAMPS PRESCHOOL @ BUKIT TIMAH PTE. LIMITED,MINDCHAMPS PRESCHOOL @ BUKIT TIMAH PTE. LIMITED,287994
6 HOUGANG AVENUE 3 ,1.36271446291047,103.893980503167,NIL,6 HOUGANG AVENUE 3 SINGAPORE 530006,530006
202 HOUGANG STREET 21 ,1.35752772836952,103.884028949439,DBS NTUC HOUGANG STREET 21,DBS NTUC HOUGANG STREET 21,530202
3 TUAS SOUTH STREET 12 ,1.27164225840049,103.63351227878,TUAS SOUTH DORMITORY,TUAS SOUTH DORMITORY,636947
239 YISHUN RING ROAD ,1.43359453113734,103.839686662816,DBS NTUC YISHUN RING ROAD,DBS NTUC YISHUN RING ROAD,760239
106 BIDADARI PARK DRIVE ,1.33369947750043,103.870796085779,ALKAFF VISTA,ALKAFF VISTA,340106
184 EAST COAST ROAD ,1.30676742950645,103.906559306672,NIL,184 EAST COAST ROAD SINGAPORE 428890,428890
510 BISHAN STREET 13 ,1.34888843900171,103.849691986357,STAR LEARNERS MONTESSORI PTE. LTD.,STAR LEARNERS MONTESSORI PTE. LTD.,570510
51 UPPER SERANGOON ROAD ,1.33135550782584,103.868150095119,OCBC THE POIZ CENTRE - FAIRPRICE,OCBC THE POIZ CENTRE - FAIRPRICE,347697
547 SEGAR ROAD ,1.3882402168269,103.76957538706,SEGAR VALE,SEGAR VALE,670547
510 BEDOK NORTH STREET 3 ,1.33233655577229,103.930496816187,UOB BEDOK NORTH STREET 3,UOB BEDOK NORTH STREET 3,460510
5 STADIUM WALK ,1.30192883841134,103.876208170362,UOB KALLANG LEISURE PARK,UOB KALLANG LEISURE PARK,397693
327 YISHUN RING ROAD ,1.43007109914643,103.842396446526,YISHUN RIVERGREEN,YISHUN RIVERGREEN,760327
249 JALAN KAYU,1.39657691054767,103.872860366695,JALAN KAYU ESTATE,JALAN KAYU ESTATE,799473
443C FAJAR ROAD ,1.38057053056182,103.76973269177,FAJAR HILLS,FAJAR HILLS,673443
12 KRANJI ROAD,1.43201730301544,103.759866941613,KRANJI LODGE ONE,KRANJI LODGE ONE,739522
202 MARSILING DRIVE ,1.44315121142693,103.775164777049,MARSILING ADMIRALTY PARK,MARSILING ADMIRALTY PARK,730202
135 JURONG EAST STREET 13 ,1.33382294191646,103.739755036969,DBS NTUC JURONG EAST STREET 13,DBS NTUC JURONG EAST STREET 13,600135
18 BEDOK SOUTH ROAD ,1.32043932800483,103.934781862165,DBS BEDOK SOUTH ROAD,DBS BEDOK SOUTH ROAD,460018
376 BUKIT BATOK STREET 31 ,1.35831705249927,103.749579868748,NIL,376 BUKIT BATOK STREET 31 SINGAPORE 650376,650376
476 UPPER SERANGOON VIEW ,1.37743006696183,103.903712864065,HOUGANG CAPEVIEW,HOUGANG CAPEVIEW,530476
80 MARINE PARADE ROAD ,1.30106068019409,103.905339493587,DBS DBS TREASURES AT PARKWAY PARADE,DBS DBS TREASURES AT PARKWAY PARADE,449269
29 CHAI CHEE AVENUE ,1.32476040143251,103.924370232312,ANSAR GARDEN,ANSAR GARDEN,460029
1 ORCHID CLUB ROAD ,1.41145912864712,103.845130941112,OCBC ORCHID COUNTRY CLUB - FAIRPRICE,OCBC ORCHID COUNTRY CLUB - FAIRPRICE,769162
301 PUNGGOL CENTRAL ,1.40371939757402,103.906138006707,CORALINUS,CORALINUS,820301
51 SOON LEE ROAD ,1.33212291013902,103.699070261789,DBS MIGRANT WORKERS' CENTRE RECREATION CLUB,DBS MIGRANT WORKERS' CENTRE RECREATION CLUB,628088
52 CHIN SWEE ROAD ,1.28708278284998,103.841580109275,NIL,52 CHIN SWEE ROAD SINGAPORE 160052,160052
1 GEYLANG SERAI ,1.31649443408571,103.896941669743,GEYLANG SERAI COMMUNITY CLUB,GEYLANG SERAI COMMUNITY CLUB,408528
57 DAWSON ROAD ,1.29270339855062,103.810958956467,DAWSON PLACE,DAWSON PLACE,142057
3 TEMASEK BOULEVARD ,1.29432416524256,103.860371993025,UOB SUNTEC CITY BRANCH,UOB SUNTEC CITY BRANCH,038983
225 LAVENDER STREET,1.31474015468409,103.859504689114,NIL,225 LAVENDER STREET SINGAPORE 338776,338776
15 SIGLAP ROAD ,1.30706075671037,103.9237697621,MANDARIN GARDENS,MANDARIN GARDENS,448912
1 VISTA EXCHANGE GREEN ,1.30681500712523,103.788462732266,DBS THE STAR VISTA,DBS THE STAR VISTA,138617
107 NORTH BRIDGE ROAD ,1.29124400604241,103.849984790048,FUNAN,FUNAN,179105
780 WOODLANDS CRESCENT ,1.44834155029683,103.801057143543,WOODLANDS DEW,WOODLANDS DEW,730780
53 ANG MO KIO AVENUE 3 ,1.36923627630004,103.848722224473,DBS ANG MO KIO - BASEMENT 1,DBS ANG MO KIO - BASEMENT 1,569933
91 UPPER PAYA LEBAR ROAD,1.33748492906751,103.887004163685,NIL,91 UPPER PAYA LEBAR ROAD SINGAPORE 534821,534821
74 WHAMPOA DRIVE ,1.32471579654689,103.857752875203,WHAMPOA COURT,WHAMPOA COURT,320074
