lat,lng,station_name,postal,opening_date
1.32997425973974,103.899226655439,UBI MRT STATION (DT27),408899,2017-10-21
1.33496735995428,103.908459338046,KAKI BUKIT MRT STATION (DT28),415804,2017-10-21
1.33474211664091,103.91797832995,BEDOK NORTH MRT STATION (DT29),479481,2017-10-21
1.33660782955099,103.932234623286,BEDOK RESERVOIR MRT STATION (DT30),469724,2017-10-21
1.34551530560119,103.938436971222,TAMPINES WEST MRT STATION (DT31),529683,2017-10-21
1.35515041120473,103.943009883131,TAMPINES MRT STATION (DT32),529544,1989-12-16
1.35619148271544,103.9546344625,TAMPINES EAST MRT STATION (DT33),529623,2017-10-21
1.34173977444995,103.961472788634,UPPER CHANGI MRT STATION (DT34),485990,2017-10-21
1.33538252614956,103.962374747451,EXPO MRT STATION (DT35),485985,2001-01-10
1.44829245259621,103.785692682441,WOODLANDS NORTH MRT STATION (TE1),737668,31 January 2020
1.43605761708128,103.787938777173,WOODLANDS MRT STATION (TE2),737736,1996-02-10
1.42739605281442,103.79326432221,WOODLANDS SOUTH MRT STATION (TE3),737741,31 January 2020
1.39758106126824,103.817856949947,SPRINGLEAF MRT STATION (TE4),787140,2021-08-28
1.38550657972169,103.835743809669,LENTOR MRT STATION (TE5),789361,2021-08-28
1.37146318831015,103.836567766945,MAYFLOWER MRT STATION (TE6),569900,2021-08-28
1.36328318545185,103.832893619992,BRIGHT HILL MRT STATION (TE7),575737,2021-08-28
1.35441643365401,103.832898468504,UPPER THOMSON MRT STATION (TE8),577937,2021-08-28
1.33724561271722,103.840161782075,CALDECOTT MRT STATION (TE9),297608,2011-10-08
1.31933437435349,103.825566965234,STEVENS MRT STATION (TE11),257879,2015-12-27
1.30678223364785,103.818956796815,NAPIER MRT STATION (TE12),258511,13 November 2022
1.30242224836722,103.823868523249,ORCHARD BOULEVARD MRT STATION (TE13),248654,13 November 2022
1.30304426265194,103.831375000068,ORCHARD MRT STATION (TE14),237974,1987-12-12
1.29394816169384,103.833720837731,GREAT WORLD MRT STATION (TE15),238384,13 November 2022
1.28850523975311,103.833585838226,HAVELOCK MRT STATION (TE16),168604,13 November 2022
1.28132964411173,103.839137557749,OUTRAM PARK MRT STATION (TE17),169080,1987-12-12
1.28053329842878,103.843883670633,MAXWELL MRT STATION (TE18),58841,13 November 2022
1.2777168283425,103.850367596067,SHENTON WAY MRT STATION (TE19),18928,13 November 2022
1.27474173226842,103.855309167928,MARINA BAY MRT STATION (TE20),18929,1989-11-04
1.27848725876303,103.867454664421,GARDENS BY THE BAY MRT STATION (TE22),19396,2022-11-13
1.38475541089131,103.74453769781,CHOA CHU KANG LRT STATION (BP1),689813,1990-03-10
1.38029828742399,103.745291799824,SOUTH VIEW LRT STATION (BP2),688265,1999-11-06
1.3786032506373,103.749055668925,KEAT HONG LRT STATION (BP3),688266,1999-11-06
1.37668467920808,103.753712232337,TECK WHYE LRT STATION (BP4),688267,1999-11-06
1.37861545104083,103.757995558346,PHOENIX LRT STATION (BP5),689483,1999-11-06
1.37792694616982,103.763102931112,BUKIT PANJANG LRT STATION (BP6),678268,2015-12-27
1.37777204259082,103.766645782497,PETIR LRT STATION (BP7),678269,1999-11-06
1.37613574334988,103.771261175571,PENDING LRT STATION (BP8),678296,1999-11-06
1.38002223010088,103.772647370452,BANGKIT LRT STATION (BP9),679939,1999-11-06
1.38457317668026,103.770887223018,FAJAR LRT STATION (BP10),679004,1999-11-06
1.38778508663361,103.769599685249,SEGAR LRT STATION (BP11),679940,1999-11-06
1.38673926997961,103.76453408646,JELAPANG LRT STATION (BP12),679941,1999-11-06
1.38272547134453,103.76234425472,SENJA LRT STATION (BP13),679942,1999-11-06
1.39627763344324,103.893797181731,CHENG LIM LRT STATION (SW1),545047,2013-01-01
1.39717019591821,103.889304824196,FARMWAY LRT STATION (SW2),545048,2007-11-15
1.39821283031379,103.881256222255,KUPANG LRT STATION (SW3),797697,2015-06-27
1.39731815581938,103.875635154729,THANGGAM LRT STATION (SW4),797699,2005-01-29
1.39188589234766,103.87630862552,FERNVALE LRT STATION (SW5),797698,2005-01-29
1.39207983659997,103.880029600546,LAYAR LRT STATION (SW6),797700,2005-01-29
1.38934794658941,103.885844150116,TONGKANG LRT STATION (SW7),545050,2005-01-29
1.38670058991904,103.89062131608,RENJONG LRT STATION (SW8),545049,2005-01-29
1.39160936379906,103.895442583336,SENGKANG LRT STATION (STC),545062,2003-06-20
1.39449304450373,103.900492450944,COMPASSVALE LRT STATION (SE1),545055,2003-01-18
1.39146849534132,103.90597359341,RUMBIA LRT STATION (SE2),545054,2003-01-18
1.38799431054768,103.905415300171,BAKAU LRT STATION (SE3),545053,2003-01-18
1.38395911688913,103.90222537044,KANGKAR LRT STATION (SE4),545052,2003-01-18
1.38423355918277,103.897194667804,RANGGUNG LRT STATION (SE5),545046,2003-01-18
1.39928198837342,103.905961941214,COVE LRT STATION (PE1),828858,2005-01-29
1.3969120498774,103.908950224489,MERIDIAN LRT STATION (PE2),828857,2005-01-29
1.39390922863313,103.912580845515,CORAL EDGE LRT STATION (PE3),828856,2005-01-29
1.39451978540251,103.916169381157,RIVIERA LRT STATION (PE4),828852,2032-01-01
1.39950910636258,103.916574974234,KADALOOR LRT STATION (PE5),828853,2005-01-29
1.40228667971123,103.912727352412,OASIS LRT STATION (PE6),828854,2007-06-15
1.40523483636957,103.908603542566,DAMAI LRT STATION (PE7),828855,2011-06-20
1.40519470149606,103.902411911915,PUNGGOL LRT STATION (PTC),828868,2003-06-20
1.40961268528804,103.904831550608,SAM KEE LRT STATION (PW1),828851,2016-02-29
1.41684852031206,103.906650789313,PUNGGOL POINT LRT STATION (PW3),828644,2016-12-29
1.41590172160383,103.902156317163,SAMUDERA LRT STATION (PW4),828645,2017-03-31
1.41185447744238,103.900339452055,NIBONG LRT STATION (PW5),828862,2014-06-29
1.40845241943079,103.898558450395,SUMANG LRT STATION (PW6),828863,2014-06-29
1.40532331860455,103.897290522033,SOO TECK LRT STATION (PW7),828864,2014-06-29
